XYDATA,PA,PE,PET,PP,PS,PVC
399.1927,0.0346126,0.0129665,0.101321,-0.00293896,0.0453172,0.0663569
400.1569,0.0325323,0.0103995,0.0997705,-0.00498302,0.042317,0.0626314
401.1211,0.0301429,0.00612279,0.0975496,-0.00712312,0.0378685,0.0577277
402.0854,0.0278661,0.00159609,0.0956334,-0.00883287,0.0334959,0.0526724
403.0496,0.0259252,-0.00221053,0.0945424,-0.00984196,0.030111,0.0482988
404.0138,0.0244395,-0.0047843,0.0943721,-0.0100345,0.0280873,0.0451647
404.9781,0.0234702,-0.00597614,0.0949326,-0.00944103,0.0274043,0.0435197
405.9423,0.0230048,-0.0059542,0.0959113,-0.0082857,0.0277432,0.043279
406.9065,0.0229405,-0.00511266,0.0970468,-0.00696507,0.028622,0.0440911
407.8708,0.0231102,-0.00390089,0.0982416,-0.00590367,0.0295898,0.0455206
408.835,0.0233391,-0.00268026,0.0995278,-0.00537166,0.0303672,0.0472035
409.7992,0.0234833,-0.00171153,0.100917,-0.0053934,0.0308379,0.0488405
410.7635,0.0234349,-0.00121496,0.102275,-0.00578345,0.0309492,0.0500972
411.7277,0.023127,-0.00135473,0.103349,-0.00626278,0.0306625,0.050621
412.6919,0.0225584,-0.00211369,0.103968,-0.00658151,0.0300142,0.0502555
413.6562,0.0218148,-0.00320208,0.104224,-0.00657309,0.0292087,0.0492488
414.6204,0.0210622,-0.00411562,0.104486,-0.00612031,0.0286365,0.0482327
415.5846,0.0205227,-0.00428365,0.105276,-0.00509964,0.0288076,0.0480179
416.5489,0.0204396,-0.00324958,0.107094,-0.00340445,0.0302048,0.0493165
417.5131,0.0209763,-0.000976051,0.110125,-0.00112934,0.032946,0.0522888
418.4773,0.0220031,0.00175463,0.113796,0.00115749,0.0362722,0.0559346
419.4416,0.0230024,0.00352631,0.116765,0.00253638,0.0386154,0.0582762
420.4058,0.0234628,0.00351087,0.117961,0.00252055,0.0389157,0.0580856
421.37,0.0233484,0.00216105,0.11744,0.00147215,0.0375595,0.0559909
422.3343,0.0229905,0.000419534,0.11588,7.96E-05,0.0356253,0.0534206
423.2985,0.0227354,-0.00111373,0.113825,-0.00116833,0.0339076,0.0513708
424.2627,0.0227733,-0.00230666,0.11153,-0.00207138,0.0326757,0.0501365
425.227,0.0231216,-0.00328702,0.109137,-0.00262968,0.0318253,0.0495158
426.1912,0.0236721,-0.00420622,0.106815,-0.00295034,0.0311088,0.0491014
427.1554,0.0242744,-0.00508957,0.104769,-0.00316185,0.0303422,0.0485575
428.1197,0.0248185,-0.00582737,0.103147,-0.00334052,0.0295122,0.0477806
429.0839,0.0252729,-0.00627383,0.101962,-0.00347364,0.0287526,0.0468801
430.0481,0.0256734,-0.0063555,0.101095,-0.00347413,0.028249,0.0460442
431.0124,0.0260894,-0.00611859,0.100363,-0.00324201,0.0281466,0.0453981
431.9766,0.0265826,-0.00570763,0.099583,-0.00275135,0.0284951,0.0449197
432.9408,0.0271652,-0.0053097,0.0986116,-0.00211758,0.029228,0.0444375
433.9051,0.0277685,-0.00510163,0.0973419,-0.00158856,0.030167,0.0437084
434.8693,0.0282488,-0.00520816,0.0957149,-0.00143118,0.031056,0.0425535
435.8335,0.02845,-0.00565545,0.0937659,-0.00175493,0.031641,0.040994
436.7978,0.0282988,-0.00632837,0.0916734,-0.00239071,0.031783,0.039295
437.762,0.0278636,-0.00697976,0.0897328,-0.0029426,0.0315378,0.0378586
438.7262,0.0273192,-0.00732026,0.0882349,-0.00300212,0.031129,0.0370158
439.6905,0.0268415,-0.00715165,0.0873202,-0.00238261,0.0308287,0.0368499
440.6547,0.0265083,-0.00647516,0.086896,-0.00123878,0.0308222,0.0371443
441.6189,0.0262658,-0.00552147,0.0866652,-1.93E-05,0.0311237,0.0374698
442.5832,0.0259757,-0.00466695,0.0862742,0.000746573,0.0315753,0.0373856
443.5474,0.025514,-0.004244,0.0855217,0.000751446,0.031934,0.0366714
444.5116,0.0248527,-0.00435311,0.0844828,0.000104751,0.0320051,0.0354352
445.4759,0.0240564,-0.00482901,0.0834229,-0.000754045,0.0317334,0.0339974
446.4401,0.0232106,-0.00538431,0.0825718,-0.00134827,0.0311955,0.0326589
447.4043,0.0223629,-0.00579093,0.0819558,-0.00141081,0.03053,0.0315516
448.3686,0.0215281,-0.00596724,0.0814031,-0.000937765,0.0298797,0.0306516
449.3328,0.0207372,-0.00595611,0.0806911,-8.87E-05,0.0293725,0.0298869
450.297,0.0200744,-0.00584976,0.0797247,0.000957654,0.0291228,0.0292385
451.2613,0.01966,-0.00571915,0.0786309,0.00210323,0.0292248,0.0287737
452.2255,0.0195805,-0.00558197,0.0777009,0.00334239,0.0297278,0.0286011
453.1897,0.0198183,-0.00541589,0.0772209,0.00469491,0.0306072,0.0287919
454.154,0.020228,-0.00519966,0.0773127,0.00611508,0.0317421,0.029315
455.1182,0.0205665,-0.00495879,0.0778687,0.00743183,0.0328997,0.0300041
456.0824,0.0205612,-0.0047973,0.0785818,0.00835402,0.0337409,0.030558
457.0467,0.0200187,-0.004888,0.079056,0.00857227,0.0339023,0.0306103
458.0109,0.018952,-0.00538687,0.0789989,0.0079522,0.0331938,0.0299167
458.9751,0.0176219,-0.00629983,0.0784066,0.00667878,0.0317863,0.028566
459.9394,0.0164004,-0.00742988,0.0775652,0.00516439,0.030158,0.0269805
460.9036,0.0155642,-0.00847435,0.0768499,0.00378425,0.0288115,0.0256627
461.8678,0.0151983,-0.00917349,0.0765272,0.00269985,0.02804,0.0249346
462.8321,0.015225,-0.00940224,0.0766867,0.00186579,0.0278815,0.024847
463.7963,0.0154733,-0.00919853,0.0772614,0.00113067,0.0281827,0.0252221
464.7605,0.0157495,-0.00874382,0.0780829,0.000350282,0.0286935,0.025767
465.7248,0.0159102,-0.00828376,0.0789635,-0.000520614,0.0291758,0.0262286
466.689,0.0159188,-0.00800124,0.0797923,-0.00139161,0.0295101,0.0265288
467.6532,0.0158435,-0.00791987,0.0805918,-0.00207939,0.0297394,0.0267854
468.6175,0.0157891,-0.00791221,0.0814849,-0.00240618,0.0300174,0.0271975
469.5817,0.0158094,-0.00780205,0.0825942,-0.00230074,0.0304943,0.027882
470.5459,0.0158541,-0.00748966,0.0839301,-0.00186357,0.0311978,0.0287646
471.5102,0.0157888,-0.00703058,0.0853369,-0.00136444,0.0319694,0.0295877
472.4744,0.0154921,-0.00661689,0.0865516,-0.00113627,0.0325174,0.0300484
473.4386,0.0149701,-0.00645758,0.0873669,-0.0013929,0.0325923,0.0299933
474.4029,0.0143799,-0.00664805,0.0877695,-0.00210842,0.03216,0.0295076
475.3671,0.0139319,-0.00713832,0.0879274,-0.00306251,0.0314197,0.0288295
476.3313,0.0137643,-0.00779479,0.0880635,-0.00398285,0.030675,0.0282036
477.2956,0.0138813,-0.0084675,0.0883438,-0.00465415,0.03019,0.0278049
478.2598,0.0141702,-0.00901643,0.08884,-0.00495406,0.0301101,0.0277398
479.224,0.0144717,-0.00931734,0.0895475,-0.00485058,0.0304489,0.0280667
480.1883,0.0146637,-0.00928216,0.09042,-0.00439505,0.0311173,0.0287894
481.1525,0.0147156,-0.00890094,0.0913894,-0.00371735,0.0319676,0.0298274
482.1167,0.0146828,-0.00827839,0.0923709,-0.00300993,0.032831,0.0309976
483.081,0.0146508,-0.00762403,0.093272,-0.00248153,0.0335469,0.0320452
484.0452,0.0146719,-0.00717093,0.0940291,-0.00227659,0.0340017,0.0327414
485.0094,0.014737,-0.00705074,0.0946607,-0.00239801,0.0341818,0.0330038
485.9737,0.0147988,-0.00721379,0.0952869,-0.002701,0.0342013,0.0329469
486.9379,0.0148178,-0.00746957,0.0960789,-0.00298249,0.0342619,0.0328054
487.9021,0.0147886,-0.00761698,0.0971679,-0.00310203,0.0345557,0.0327877
488.8664,0.0147299,-0.00756234,0.0985781,-0.00304919,0.0351708,0.0329652
489.8306,0.0146601,-0.00735695,0.100218,-0.00292857,0.036046,0.0332512
490.7948,0.0145799,-0.00715089,0.101928,-0.00288572,0.0369922,0.0334554
491.7591,0.0144777,-0.00709761,0.103558,-0.00301769,0.0377794,0.0333804
492.7233,0.0143477,-0.00726477,0.105028,-0.00331753,0.0382538,0.0329165
493.6875,0.0142065,-0.00760544,0.106339,-0.0036849,0.0384154,0.0320913
494.6518,0.0140927,-0.00799949,0.107532,-0.00398843,0.0384081,0.0310568
495.616,0.0140512,-0.00832213,0.108637,-0.0041305,0.0384367,0.0300341
496.5802,0.0141135,-0.00848946,0.109643,-0.00407672,0.038676,0.0292464
497.5445,0.0142837,-0.00846735,0.110495,-0.00384913,0.0392204,0.0288583
498.5087,0.0145339,-0.00826244,0.111085,-0.00350404,0.0400785,0.0289289
499.4729,0.0148071,-0.00791614,0.111247,-0.00311162,0.0411928,0.0293848
500.4372,0.0150328,-0.00750341,0.110782,-0.00273982,0.0424635,0.0300291
501.4014,0.0151559,-0.00712043,0.109529,-0.0024395,0.0437751,0.0306056
502.3656,0.0151698,-0.00685,0.10747,-0.00223287,0.0450267,0.0309084
503.3299,0.0151273,-0.00672106,0.104769,-0.00211564,0.04616,0.0308754
504.2941,0.0151136,-0.00669787,0.101706,-0.0020753,0.047168,0.030592
505.2583,0.0151983,-0.00671163,0.0985582,-0.00211061,0.0480783,0.0302091
506.2226,0.0153982,-0.00670884,0.0955188,-0.00223393,0.048929,0.0298486
507.1868,0.0156729,-0.00667999,0.0926915,-0.00245265,0.049752,0.029565
508.151,0.0159484,-0.00665205,0.0901315,-0.00274379,0.0505731,0.0293653
509.1153,0.0161551,-0.00665323,0.0878852,-0.00304201,0.0514214,0.0292565
510.0795,0.0162567,-0.00667747,0.086005,-0.00325161,0.0523406,0.0292765
511.0437,0.0162598,-0.0066755,0.0845413,-0.0032749,0.0533935,0.0294895
512.008,0.0162039,-0.00657808,0.0835278,-0.00303944,0.0546548,0.0299542
512.9722,0.0161478,-0.00633376,0.0829662,-0.0025159,0.0561911,0.0306873
513.9365,0.0161565,-0.00593918,0.0828075,-0.00173171,0.0580322,0.0316369
514.9007,0.0162862,-0.00545058,0.0829296,-0.000786375,0.0601408,0.0326679
515.8649,0.0165608,-0.00497456,0.0831254,0.000140666,0.0623973,0.0335666
516.8292,0.0169461,-0.00463736,0.083133,0.00081824,0.0646216,0.0340872
517.7934,0.0173461,-0.00453499,0.0827332,0.00105161,0.0666462,0.0340529
518.7576,0.0176416,-0.00468334,0.0818751,0.000799912,0.0684164,0.033474
519.7219,0.0177588,-0.0050046,0.0807255,0.000228097,0.0700429,0.0325792
520.6861,0.0177113,-0.00536577,0.0795774,-0.000368364,0.0717597,0.0317132
521.6503,0.017585,-0.00564055,0.0786864,-0.00070949,0.0738228,0.031174
522.6146,0.0174861,-0.00575542,0.078149,-0.000645971,0.0764231,0.031098
523.5788,0.0174919,-0.00570948,0.0778707,-0.000203131,0.0796373,0.0314274
524.543,0.0176237,-0.00557312,0.0776167,0.000437785,0.0834079,0.0319463
525.5073,0.0178472,-0.00546245,0.0771296,0.0010175,0.0875578,0.0323805
526.4715,0.0181001,-0.00548488,0.0762729,0.00132353,0.0918651,0.0325385
527.4357,0.0183337,-0.00567887,0.0751038,0.00129562,0.0961774,0.0324153
528.4,0.0185363,-0.00599199,0.0738121,0.00103098,0.100484,0.0321745
529.3642,0.0187245,-0.0063125,0.0725836,0.000694353,0.104884,0.032031
530.3284,0.0189159,-0.00652581,0.0715015,0.000416956,0.109485,0.0321327
531.2927,0.0191101,-0.00656107,0.0705384,0.000248902,0.114305,0.0325097
532.2569,0.0192885,-0.00641294,0.0696107,0.000169364,0.119219,0.033089
533.2211,0.0194326,-0.00613616,0.0686484,0.000127455,0.123983,0.033748
534.1854,0.019545,-0.00581747,0.067636,8.28E-05,0.128297,0.0343753
535.1496,0.0196567,-0.00553852,0.0666059,2.34E-05,0.131881,0.0349085
536.1138,0.0198115,-0.00534871,0.0655969,-4.37E-05,0.134519,0.0353359
537.0781,0.0200366,-0.00525775,0.0646176,-0.000111984,0.136071,0.035674
538.0423,0.0203196,-0.00524372,0.063641,-0.000186978,0.136468,0.035945
539.0065,0.0206083,-0.00526605,0.0626331,-0.000278616,0.135723,0.0361715
539.9708,0.0208396,-0.00527725,0.0615898,-0.000384455,0.133939,0.0363857
540.935,0.0209768,-0.00523447,0.0605543,-0.000479616,0.131308,0.0366374
541.8992,0.0210344,-0.00511232,0.0596017,-0.000523867,0.128077,0.0369852
542.8635,0.0210713,-0.00491445,0.0588002,-0.000482317,0.124501,0.0374727
543.8277,0.021156,-0.00467618,0.0581713,-0.000346533,0.120795,0.0380982
544.7919,0.0213251,-0.00445242,0.0576716,-0.000143132,0.117106,0.0388005
545.7562,0.0215579,-0.00429375,0.0572039,7.48E-05,0.113502,0.039472
546.7204,0.0217856,-0.00422361,0.0566563,0.000247502,0.109991,0.0400002
547.6846,0.02193,-0.00423181,0.0559472,0.000328509,0.10656,0.0403174
548.6489,0.0219454,-0.00428774,0.0550559,0.000295384,0.103204,0.0404295
549.6131,0.0218405,-0.0043621,0.0540238,0.000152077,0.0999545,0.0404083
550.5773,0.0216688,-0.00444024,0.0529324,-7.25E-05,0.0968693,0.0403537
551.5416,0.0215002,-0.00452033,0.0518717,-0.00032708,0.0940145,0.0403506
552.5058,0.0213948,-0.00460265,0.0509135,-0.000546773,0.0914336,0.0404438
553.47,0.0213884,-0.00468191,0.0500986,-0.000671052,0.0891262,0.0406377
554.4343,0.0214926,-0.0047486,0.0494347,-0.000669131,0.087045,0.0409152
555.3985,0.0216997,-0.00479562,0.0489038,-0.000558523,0.0851132,0.0412571
556.3627,0.0219869,-0.00482287,0.0484715,-0.000401918,0.0832518,0.0416514
557.327,0.0223184,-0.00483629,0.0480957,-0.000278365,0.0814032,0.0420886
558.2912,0.0226513,-0.00484459,0.0477327,-0.000242551,0.0795388,0.0425535
559.2554,0.0229462,-0.00485835,0.0473431,-0.000295805,0.0776538,0.043024
560.2197,0.0231824,-0.00489059,0.0469017,-0.000385684,0.0757598,0.0434836
561.1839,0.0233688,-0.00495307,0.0464113,-0.000432966,0.0738844,0.0439407
562.1481,0.0235447,-0.00504536,0.0459135,-0.000369825,0.0720738,0.0444398
563.1124,0.023766,-0.00514351,0.0454849,-0.000169778,0.0703858,0.0450514
564.0766,0.0240835,-0.00520124,0.0452114,0.000141915,0.0688646,0.0458413
565.0408,0.0245206,-0.00517087,0.0451449,0.000496931,0.067507,0.0468297
566.0051,0.0250637,-0.0050353,0.0452657,0.000804684,0.0662427,0.0479653
566.9693,0.0256665,-0.0048302,0.0454724,0.000979575,0.0649488,0.0491303
567.9335,0.0262699,-0.00463588,0.0456166,0.000971193,0.0635011,0.0501855
568.8978,0.0268279,-0.00453586,0.0455737,0.000789002,0.0618357,0.0510384
569.862,0.0273289,-0.00456556,0.0453119,0.000506301,0.0599822,0.0516989
570.8262,0.027798,-0.00468811,0.0449117,0.000234556,0.058044,0.0522824
571.7905,0.0282803,-0.00481582,0.0445232,7.89E-05,0.056144,0.0529573
572.7547,0.0288166,-0.00486117,0.0442908,9.82E-05,0.0543756,0.0538682
573.7189,0.0294238,-0.00478429,0.0442886,0.00028682,0.0527841,0.0550766
574.6832,0.030089,-0.00461166,0.0444958,0.000582369,0.0513719,0.0565415
575.6474,0.0307763,-0.0044176,0.0448157,0.000894238,0.0501106,0.0581452
576.6116,0.0314437,-0.00427945,0.0451265,0.00114111,0.0489512,0.0597552
577.5759,0.0320602,-0.00423405,0.0453382,0.00127987,0.0478352,0.0612894
578.5401,0.0326157,-0.00426322,0.0454218,0.00131246,0.046713,0.0627484
579.5043,0.033118,-0.00431469,0.045404,0.00127139,0.0455678,0.064201
580.4686,0.0335826,-0.00433983,0.0453379,0.00119628,0.0444289,0.0657393
581.4328,0.0340209,-0.00432297,0.0452725,0.00111392,0.0433625,0.0674317
582.397,0.0344311,-0.00428654,0.0452349,0.00102922,0.0424389,0.0692974
583.3613,0.034797,-0.00427181,0.0452282,0.000929793,0.0416949,0.0713092
584.3255,0.0350962,-0.00430868,0.0452453,0.000802325,0.0411177,0.0734235
585.2897,0.0353142,-0.00439399,0.0452864,0.000651836,0.0406617,0.0756186
586.254,0.0354564,-0.0044917,0.0453708,0.000510684,0.040286,0.0779184
587.2182,0.0355485,-0.00455328,0.0455331,0.000428443,0.0399816,0.0803878
588.1824,0.0356239,-0.00454482,0.045803,0.000446052,0.0397687,0.083101
589.1467,0.0357064,-0.00446559,0.0461805,0.000568774,0.0396678,0.0861037
590.1109,0.0357969,-0.00434926,0.0466208,0.000755121,0.0396654,0.0893937
591.0751,0.0358741,-0.00424712,0.0470433,0.000931915,0.0397022,0.092936
592.0394,0.0359082,-0.00420072,0.047366,0.00103091,0.0396939,0.0967097
593.0036,0.0358797,-0.00421857,0.0475481,0.00102565,0.0395745,0.100759
593.9678,0.0357899,-0.00427201,0.0476124,0.000942772,0.039331,0.105207
594.9321,0.0356572,-0.00431393,0.0476288,0.000839924,0.0390055,0.110224
595.8963,0.0355066,-0.00430794,0.0476733,0.000768799,0.0386661,0.115957
596.8605,0.0353596,-0.00424943,0.047791,0.000749227,0.038372,0.122473
597.8248,0.0352303,-0.00416692,0.0479828,0.000766906,0.0381522,0.129728
598.789,0.0351252,-0.0041029,0.048219,0.000790324,0.0380056,0.137565
599.7532,0.0350432,-0.00408535,0.0484668,0.000792929,0.0379136,0.145743
600.7175,0.0349763,-0.00410938,0.0487124,0.000766039,0.0378561,0.153969
601.6817,0.0349106,-0.00414346,0.0489633,0.000716218,0.0378195,0.161921
602.6459,0.0348303,-0.00415595,0.049232,0.000653354,0.0377963,0.169254
603.6102,0.0347215,-0.00414067,0.0495181,0.000581826,0.0377831,0.175623
604.5744,0.0345751,-0.00412119,0.0498019,0.000501916,0.0377833,0.180746
605.5386,0.0343894,-0.00413128,0.0500558,0.000417984,0.0378116,0.18447
606.5029,0.0341728,-0.00418752,0.050261,0.000343783,0.0378946,0.186813
607.4671,0.0339466,-0.00427542,0.0504187,0.000298603,0.0380617,0.187926
608.4313,0.0337437,-0.00435712,0.0505494,0.000297737,0.038332,0.188008
609.3956,0.0336014,-0.00438976,0.0506877,0.000348028,0.0387127,0.187263
610.3598,0.0335467,-0.00433624,0.0508791,0.000456093,0.0392148,0.185913
611.324,0.0335836,-0.00416188,0.051182,0.000643883,0.0398773,0.184241
612.2883,0.0336913,-0.00382925,0.0516638,0.000954328,0.0407753,0.182576
613.2525,0.033835,-0.00331028,0.0523798,0.00143197,0.0419899,0.181185
614.2167,0.0339815,-0.00262179,0.0533334,0.00207988,0.043542,0.180123
615.181,0.0341084,-0.00186616,0.054431,0.00281353,0.0453164,0.179131
616.1452,0.0342027,-0.00123837,0.0554677,0.00344823,0.0470286,0.177679
617.1094,0.0342546,-0.000959515,0.0561894,0.00375833,0.0482954,0.175218
618.0737,0.0342557,-0.00114866,0.0564333,0.0036023,0.0488199,0.171538
619.0379,0.0342046,-0.00172921,0.0562521,0.00302518,0.0485703,0.166955
